model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 1 Series,2016,13998,Manual,19188,Diesel,20,70.6,1.5
 1 Series,2019,16500,Manual,5450,Diesel,145,72.4,1.5
 3 Series,2019,34000,Semi-Auto,4650,Diesel,145,47.9,3
 5 Series,2019,29000,Semi-Auto,4727,Diesel,145,62.8,2
 3 Series,2019,32990,Semi-Auto,5400,Diesel,145,49.6,2
 3 Series,2019,30000,Manual,5385,Diesel,145,54.3,2
 7 Series,2016,33000,Semi-Auto,18190,Petrol,200,40.4,3
 3 Series,2019,35000,Semi-Auto,7685,Diesel,145,48.7,2
 1 Series,2017,14898,Manual,28133,Diesel,145,65.7,2
 5 Series,2019,29998,Semi-Auto,5000,Diesel,145,62.8,2
 4 Series,2019,28898,Semi-Auto,5000,Petrol,145,48.7,2
 3 Series,2019,26498,Semi-Auto,16151,Diesel,145,48.7,2
 X5,2014,18998,Automatic,84512,Diesel,205,47.9,2
 1 Series,2013,6998,Manual,57125,Petrol,150,49.6,1.6
 X2,2018,22898,Semi-Auto,21150,Petrol,145,38.7,2
 3 Series,2016,18898,Automatic,13493,Petrol,160,44.1,2
 X1,2017,19498,Automatic,27490,Diesel,145,57.6,2
 5 Series,2019,29898,Semi-Auto,7730,Diesel,145,60.1,2
 1 Series,2019,25898,Manual,3000,Petrol,145,41.5,1.5
 3 Series,2019,29998,Manual,5000,Diesel,145,54.3,2
 3 Series,2018,21898,Semi-Auto,6425,Petrol,145,48.7,2
 X3,2019,53898,Semi-Auto,6520,Petrol,145,24.8,3
 3 Series,2019,23898,Automatic,11603,Diesel,145,52.3,2
 1 Series,2019,19598,Semi-Auto,11308,Diesel,145,67.3,2
 1 Series,2019,18998,Semi-Auto,10974,Diesel,145,48.7,2
 1 Series,2016,15498,Semi-Auto,35340,Diesel,30,65.7,2
 4 Series,2019,29990,Semi-Auto,10013,Diesel,145,49.6,3
 4 Series,2019,29990,Semi-Auto,6644,Diesel,145,49.6,3
 1 Series,2019,33500,Semi-Auto,5354,Diesel,145,48.7,2
 6 Series,2018,28495,Semi-Auto,21525,Diesel,145,49.6,3
 X1,2015,16900,Semi-Auto,42530,Diesel,125,57.6,2
 5 Series,2019,25500,Automatic,1032,Diesel,145,65.7,2
 X2,2018,23750,Semi-Auto,15093,Diesel,145,58.9,2
 3 Series,2019,26390,Semi-Auto,5288,Diesel,145,57.7,2
 4 Series,2019,25000,Semi-Auto,10996,Diesel,145,60.1,2
 1 Series,2019,18990,Manual,6615,Diesel,145,70.6,1.5
 1 Series,2019,18900,Manual,5379,Diesel,145,70.6,1.5
 M3,2017,38000,Semi-Auto,14894,Petrol,300,34,3
 X2,2019,23000,Semi-Auto,929,Petrol,145,40.4,2
 3 Series,2017,19990,Semi-Auto,25212,Diesel,145,62.8,2
 X4,2019,44000,Semi-Auto,3253,Petrol,145,26.9,3
 4 Series,2019,27000,Semi-Auto,1400,Diesel,145,65.7,2
 1 Series,2019,34990,Semi-Auto,4020,Diesel,145,48.7,2
 X1,2019,28500,Manual,105,Diesel,145,68.9,2
 X1,2019,31490,Manual,105,Diesel,145,60.1,2
 X1,2019,30900,Semi-Auto,678,Diesel,145,65.7,2
 X1,2016,19850,Semi-Auto,14542,Diesel,125,60.1,2
 X1,2016,18490,Manual,19064,Diesel,125,60.1,2
 5 Series,2018,27990,Semi-Auto,18327,Diesel,145,60.1,3
 X1,2019,22500,Manual,1272,Petrol,145,54.3,1.5
 X4,2018,34000,Semi-Auto,935,Diesel,145,42.8,2
 X1,2016,19000,Semi-Auto,15605,Diesel,125,60.1,2
 1 Series,2019,25490,Semi-Auto,5379,Petrol,145,39.8,3
 X3,2016,21000,Semi-Auto,15989,Diesel,145,54.3,2
 X3,2016,19490,Semi-Auto,43688,Diesel,145,54.3,2
 2 Series,2018,16998,Manual,12792,Diesel,150,51.4,2
 3 Series,2017,20898,Semi-Auto,17131,Diesel,150,64.2,2
 X4,2019,33898,Semi-Auto,10792,Diesel,150,42.8,2
 X3,2017,24500,Semi-Auto,12674,Diesel,145,54.3,2
 2 Series,2019,22500,Semi-Auto,5058,Petrol,145,50.4,2
 3 Series,2018,24990,Semi-Auto,13271,Diesel,150,53.3,3
 i8,2019,67500,Automatic,6000,Hybrid,140,141.2,1.5
 X1,2016,19295,Semi-Auto,13049,Diesel,125,57.6,2
 2 Series,2015,14998,Semi-Auto,29809,Diesel,20,68.9,2
 7 Series,2019,48898,Semi-Auto,5000,Petrol,145,34.5,3
 2 Series,2016,14998,Semi-Auto,32274,Petrol,125,51.4,1.5
 1 Series,2013,10998,Semi-Auto,41501,Diesel,30,64.2,2
 3 Series,2016,13998,Manual,47274,Petrol,200,41.5,2
 3 Series,2016,13498,Semi-Auto,45341,Diesel,0,74.3,2
 X3,2015,16998,Semi-Auto,73312,Diesel,145,54.3,2
 2 Series,2019,27500,Automatic,3286,Petrol,145,39.8,3
 2 Series,2019,22000,Manual,3266,Petrol,145,52.3,1.5
 2 Series,2019,22000,Manual,2560,Petrol,145,52.3,1.5
 2 Series,2019,21500,Manual,4067,Petrol,145,52.3,1.5
 5 Series,2019,30000,Semi-Auto,5479,Petrol,145,50.4,2
 5 Series,2019,36500,Semi-Auto,4971,Diesel,145,55.4,2
 2 Series,2019,22990,Manual,3205,Petrol,145,52.3,1.5
 3 Series,2019,32990,Semi-Auto,9503,Diesel,145,49.6,2
 i8,2017,48898,Automatic,36127,Hybrid,0,134.5,1.5
 X1,2016,20900,Semi-Auto,15537,Petrol,165,44.8,2
 2 Series,2016,15490,Manual,7390,Petrol,165,44.8,2
 1 Series,2019,21900,Manual,917,Petrol,150,44.8,1.5
 1 Series,2019,22900,Manual,969,Diesel,150,68.9,2
 7 Series,2019,47000,Semi-Auto,5113,Diesel,145,44.1,3
 X3,2019,33990,Semi-Auto,11,Diesel,145,54.3,2
 3 Series,2017,23500,Semi-Auto,21798,Diesel,145,49.6,3
 3 Series,2019,22000,Semi-Auto,10300,Diesel,145,55.4,2
 X5,2019,52500,Semi-Auto,5597,Diesel,145,37.7,3
 5 Series,2019,26000,Semi-Auto,12209,Diesel,145,62.8,2
 1 Series,2019,23000,Semi-Auto,1956,Diesel,145,60.1,2
 3 Series,2019,24898,Semi-Auto,13125,Diesel,145,52.3,2
 1 Series,2016,15498,Manual,20233,Diesel,30,62.8,2
 1 Series,2017,14998,Semi-Auto,48972,Diesel,150,65.7,2
 X5,2017,36898,Automatic,28193,Petrol,150,29.1,4.4
 7 Series,2019,46898,Semi-Auto,7200,Diesel,150,42.2,3
 M5,2019,62898,Semi-Auto,4200,Petrol,150,26.9,4.4
 4 Series,2016,21898,Semi-Auto,10000,Diesel,160,52.3,3
 2 Series,2018,21498,Semi-Auto,1749,Diesel,145,47.1,2
 3 Series,2018,25990,Semi-Auto,8344,Diesel,145,53.3,3
 X6,2019,64900,Semi-Auto,7200,Diesel,145,33.2,3
 4 Series,2020,27490,Semi-Auto,100,Diesel,145,60.1,2
 4 Series,2020,28990,Semi-Auto,100,Diesel,145,52.3,3
 4 Series,2020,30750,Semi-Auto,100,Diesel,145,50.4,3
 3 Series,2016,16690,Semi-Auto,30271,Diesel,145,53.3,3
 2 Series,2017,16998,Semi-Auto,25544,Diesel,145,64.2,2
 5 Series,2017,23998,Semi-Auto,13373,Diesel,145,65.7,2
 4 Series,2019,21998,Semi-Auto,17417,Diesel,145,65.7,2
 2 Series,2019,16998,Manual,7201,Petrol,150,42.8,1.5
 2 Series,2017,16798,Semi-Auto,23843,Diesel,145,64.2,2
 3 Series,2016,11998,Semi-Auto,78980,Diesel,30,70.6,2
 1 Series,2019,17998,Manual,6047,Petrol,145,56.5,1.5
 3 Series,2019,23298,Semi-Auto,14320,Diesel,145,54.3,2
 5 Series,2017,24298,Semi-Auto,13863,Diesel,145,60.1,2
 2 Series,2018,19990,Semi-Auto,5600,Diesel,145,49.6,2
 8 Series,2019,72990,Semi-Auto,8200,Petrol,145,26.7,4.4
 7 Series,2019,42990,Semi-Auto,9931,Diesel,145,44.1,3
 5 Series,2013,12791,Semi-Auto,55642,Diesel,145,55.4,2
 1 Series,2017,14991,Manual,20847,Petrol,145,52.3,1.5
 2 Series,2016,14498,Manual,16735,Diesel,20,74.3,1.5
 3 Series,2018,16998,Semi-Auto,21879,Petrol,150,51.4,1.5
 2 Series,2016,20990,Semi-Auto,21924,Petrol,260,37.2,3
 3 Series,2015,15990,Manual,43574,Petrol,200,39.8,2
 X2,2019,24500,Semi-Auto,10112,Diesel,145,61.4,2
 X4,2019,35490,Semi-Auto,6250,Diesel,145,42.8,2
 X3,2019,38900,Semi-Auto,3302,Diesel,145,48.7,3
 3 Series,2018,17620,Automatic,20461,Diesel,145,60.1,2
 3 Series,2017,19991,Semi-Auto,27123,Diesel,145,62.8,2
 2 Series,2015,11991,Manual,52656,Diesel,30,62.8,2
 3 Series,2016,19998,Semi-Auto,26711,Diesel,160,51.4,3
 3 Series,2017,15998,Semi-Auto,15931,Petrol,125,51.4,2
 X1,2016,18998,Manual,10935,Diesel,125,58.9,2
 3 Series,2019,26998,Semi-Auto,13268,Diesel,145,48.7,2
 2 Series,2019,20498,Semi-Auto,6195,Petrol,145,47.9,2
 2 Series,2015,11998,Semi-Auto,30738,Diesel,20,68.9,2
 2 Series,2019,18498,Semi-Auto,4079,Petrol,150,39.8,1.5
 X3,2015,14998,Semi-Auto,34348,Diesel,150,55.4,2
 3 Series,2018,21998,Semi-Auto,14008,Diesel,145,62.8,2
 1 Series,2016,18498,Semi-Auto,36523,Petrol,205,39.8,3
 3 Series,2015,15998,Semi-Auto,47812,Diesel,160,51.4,3
 Z4,2014,13498,Manual,22080,Petrol,205,41.5,2
 5 Series,2015,17998,Semi-Auto,41858,Diesel,200,48.7,3
 X4,2019,33998,Semi-Auto,4231,Diesel,150,42.8,2
 1 Series,2019,18998,Manual,12250,Diesel,150,70.6,1.5
 1 Series,2019,21898,Manual,4100,Petrol,150,41.5,1.5
 3 Series,2018,20140,Automatic,2674,Diesel,145,64.2,2
 4 Series,2018,22991,Semi-Auto,10990,Diesel,145,65.7,2
 X5,2015,19991,Automatic,62839,Diesel,200,47.9,3
 1 Series,2016,16998,Manual,21076,Petrol,300,35.3,3
 3 Series,2017,11498,Manual,51299,Petrol,125,52.3,1.5
 2 Series,2015,14298,Semi-Auto,25970,Diesel,125,58.9,2
 3 Series,2019,26498,Semi-Auto,11504,Petrol,150,41.5,2
 1 Series,2016,14998,Semi-Auto,25253,Petrol,125,54.3,1.5
 X3,2015,18298,Semi-Auto,58779,Diesel,145,54.3,2
 5 Series,2019,27698,Automatic,8722,Diesel,145,60.1,2
 3 Series,2015,12498,Manual,32082,Petrol,125,52.3,1.5
 Z4,2015,13498,Semi-Auto,48444,Petrol,200,41.5,2
 2 Series,2019,18298,Semi-Auto,1230,Petrol,145,50.4,2
 2 Series,2017,10000,Manual,51493,Petrol,30,55.4,1.5
 3 Series,2015,13991,Manual,37373,Diesel,30,64.2,2
 3 Series,2016,17750,Manual,15082,Petrol,200,41.5,2
 3 Series,2018,21490,Semi-Auto,18385,Petrol,145,48.7,2
 X1,2013,7998,Manual,64698,Diesel,160,51.4,2
 X1,2016,17998,Manual,14300,Diesel,125,58.9,2
 4 Series,2015,13198,Manual,62477,Diesel,30,62.8,2
 2 Series,2017,16498,Semi-Auto,24354,Diesel,145,64.2,2
 X6,2017,30998,Semi-Auto,21756,Diesel,145,47.1,3
 2 Series,2019,24998,Semi-Auto,8555,Diesel,145,46.3,2
 3 Series,2017,13998,Manual,37323,Diesel,150,67.3,2
 3 Series,2013,8490,Manual,68578,Diesel,30,61.4,2
 4 Series,2018,21500,Semi-Auto,768,Diesel,145,65.7,2
 2 Series,2015,15500,Semi-Auto,25180,Diesel,20,68.9,2
 5 Series,2017,22000,Semi-Auto,30109,Diesel,150,65.7,2
 3 Series,2017,18998,Semi-Auto,30355,Diesel,145,64.2,2
 1 Series,2017,13995,Semi-Auto,18124,Diesel,145,70.6,2
 X3,2014,14495,Semi-Auto,44000,Diesel,165,50.4,2
 3 Series,2013,7495,Manual,83000,Diesel,30,62.8,2
 X3,2017,20495,Semi-Auto,33275,Diesel,150,54.3,2
 3 Series,2019,29998,Semi-Auto,4918,Diesel,150,52.3,2
 2 Series,2017,16498,Semi-Auto,27811,Diesel,145,64.2,2
 2 Series,2017,17498,Semi-Auto,19307,Diesel,145,64.2,2
 2 Series,2017,17498,Semi-Auto,21809,Diesel,145,64.2,2
 2 Series,2017,16798,Semi-Auto,25884,Diesel,145,64.2,2
 X3,2016,20998,Semi-Auto,25574,Diesel,145,54.3,2
 3 Series,2018,19998,Semi-Auto,4807,Diesel,145,64.2,2
